Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,ADM2_REF,ADM2ALT1EN,ADM2ALT2EN,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,SD_EN,SD_PCODE
2.30852580487,0.19530549434,Kubau,NG019015,Kubau,,,Kaduna,NG019,Nigeria,NG,2016-11-29,2019-04-17,,Kaduna North,NG01902
0.88357159755,0.02766510283,Kudan,NG019016,Kudan,,,Kaduna,NG019,Nigeria,NG,2016-11-29,2019-04-17,,Kaduna North,NG01902
1.83519970784,0.12589325827,Kuje,NG015005,Kuje,,,Federal Capital Territory,NG015,Nigeria,NG,2016-11-29,2019-04-17,,Federal Capital Territory,NG01501
2.58164621952,0.40957334482,Kukawa,NG008017,Kukawa,,,Borno,NG008,Nigeria,NG,2016-11-29,2019-04-17,,Borno North,NG00802
0.66840854095,0.01590346965,Kumbotso,NG020025,Kumbotso,,,Kano,NG020,Nigeria,NG,2016-11-29,2019-04-17,,Kano Central,NG02002
0.99204804732,0.04330310156,Kunchi,NG020026,Kunchi,,,Kano,NG020,Nigeria,NG,2016-11-29,2019-04-17,,Kano North,NG02003
0.68140841798,0.01625807553,Kura,NG020027,Kura,,,Kano,NG020,Nigeria,NG,2016-11-29,2019-04-17,,Kano Central,NG02002
1.07553488748,0.04798014203,Kurfi,NG021022,Kurfi,,,Katsina,NG021,Nigeria,NG,2016-11-29,2019-04-17,,Katsina Central,NG02101
3.02638835020,0.35613997225,Kurmi,NG035009,Kurmi,,,Taraba,NG035,Nigeria,NG,2016-11-29,2019-04-17,,Taraba Central,NG03501
0.96100363417,0.03789414749,Kusada,NG021023,Kusada,,,Katsina,NG021,Nigeria,NG,2016-11-29,2019-04-17,,Katsina North,NG02102
1.46786682534,0.10292137537,Kwali,NG015006,Kwali,,,Federal Capital Territory,NG015,Nigeria,NG,2016-11-29,2019-04-17,,Federal Capital Territory,NG01501
1.96966924659,0.14192293668,Kwami,NG016008,Kwami,,,Gombe,NG016,Nigeria,NG,2016-11-29,2019-04-17,,Gombe North,NG01602
2.20770179342,0.19236014789,Kwande,NG007011,Kwande,,,Benue,NG007,Nigeria,NG,2016-11-29,2019-04-17,,Benue North East,NG00701
1.33767375364,0.04967394834,Kware,NG034011,Kware,,,Sokoto,NG034,Nigeria,NG,2016-11-29,2019-04-17,,Sokoto North,NG03402
1.11967203003,0.06170925498,Kwaya Kusar,NG008018,Kwaya Kusar,,,Borno,NG008,Nigeria,NG,2016-11-29,2019-04-17,,Borno South,NG00803
3.27293683030,0.21831164645,Lafia,NG026008,Lafia,,,Nasarawa,NG026,Nigeria,NG,2016-11-29,2019-04-17,,Nassarawa South,NG02601
0.87967399766,0.02234926277,Lagelu,NG031020,Lagelu,,,Oyo,NG031,Nigeria,NG,2016-11-29,2019-04-17,,Oyo Central,NG03101
0.10410787000,0.00070281634,Lagos Island,NG025014,Lagos Island,,,Lagos,NG025,Nigeria,NG,2016-11-29,2019-04-17,,Lagos Central,NG02502
0.19707900498,0.00192142450,Lagos Mainland,NG025015,Lagos Mainland,,,Lagos,NG025,Nigeria,NG,2016-11-29,2019-04-17,,Lagos Central,NG02502
1.42085436514,0.09107105246,Lamurde,NG002009,Lamurde,,,Adamawa,NG002,Nigeria,NG,2016-11-29,2019-04-17,,Adamawa South,NG00203
1.44941647217,0.06435215726,Langtang North,NG032009,Langtang North,,,Plateau,NG032,Nigeria,NG,2016-11-29,2019-04-17,,Plateau South,NG03203
1.44596870811,0.09847580239,Langtang South,NG032010,Langtang South,,,Plateau,NG032,Nigeria,NG,2016-11-29,2019-04-17,,Plateau South,NG03203
3.39811112815,0.24900781136,Lapai,NG027012,Lapai,,,Niger,NG027,Nigeria,NG,2016-11-29,2019-04-17,,Niger South,NG02703
1.67912784259,0.13632670061,Lau,NG035010,Lau,,,Taraba,NG035,Nigeria,NG,2016-11-29,2019-04-17,,Taraba North,NG03502
2.13503144096,0.21316842083,Lavun,NG027013,Lavun,,,Niger,NG027,Nigeria,NG,2016-11-29,2019-04-17,,Niger South,NG02703
2.57068045852,0.18996970451,Lere,NG019017,Lere,,,Kaduna,NG019,Nigeria,NG,2016-11-29,2019-04-17,,Kaduna North,NG01902
1.69466793123,0.13322530727,Logo,NG007012,Logo,,,Benue,NG007,Nigeria,NG,2016-11-29,2019-04-17,,Benue North East,NG00701
3.51906999065,0.26271408251,Lokoja,NG023012,Lokoja,,,Kogi,NG023,Nigeria,NG,2016-11-29,2019-04-17,,Kogi West,NG02303
1.77916092490,0.10666188486,Machina,NG036011,Machina,,,Yobe,NG036,Nigeria,NG,2016-11-29,2019-04-17,,Yobe North,NG03602
1.19035742963,0.06867564338,Madagali,NG002010,Madagali,,,Adamawa,NG002,Nigeria,NG,2016-11-29,2019-04-17,,Adamawa North,NG00202
0.76620771258,0.02139513317,Madobi,NG020028,Madobi,,,Kano,NG020,Nigeria,NG,2016-11-29,2019-04-17,,Kano Central,NG02002
2.46049796952,0.23686994536,Mafa,NG008019,Mafa,,,Borno,NG008,Nigeria,NG,2016-11-29,2019-04-17,,Borno Central,NG00801
3.51429394630,0.33486688666,Magama,NG027014,Magama,,,Niger,NG027,Nigeria,NG,2016-11-29,2019-04-17,,Niger North,NG02702
3.01160886711,0.39277125065,Magumeri,NG008020,Magumeri,,,Borno,NG008,Nigeria,NG,2016-11-29,2019-04-17,,Borno North,NG00802
1.12240487012,0.05163977524,Mai'adua,NG021024,Maiadua,,,Katsina,NG021,Nigeria,NG,2016-11-29,2019-04-17,,Katsina North,NG02102
0.51951847099,0.01160313513,Maiduguri,NG008021,Maiduguri,,,Borno,NG008,Nigeria,NG,2016-11-29,2019-04-17,,Borno Central,NG00801
1.34287437453,0.08027692237,Maigatari,NG018020,Maigatari,,,Jigawa,NG018,Nigeria,NG,2016-11-29,2019-04-17,,Jigawa North-West,NG01802
1.75450229397,0.11181067185,Maiha,NG002011,Maiha,,,Adamawa,NG002,Nigeria,NG,2016-11-29,2019-04-17,,Adamawa North,NG00202
2.09543779737,0.11072612869,Maiyama,NG022014,Maiyama,,,Kebbi,NG022,Nigeria,NG,2016-11-29,2019-04-17,,Kebbi Central,NG02201
1.42518571977,0.03340826454,Makoda,NG020029,Makoda,,,Kano,NG020,Nigeria,NG,2016-11-29,2019-04-17,,Kano North,NG02003
0.99093957514,0.06657235127,Makurdi,NG007013,Makurdi,,,Benue,NG007,Nigeria,NG,2016-11-29,2019-04-17,,Benue North West,NG00702
1.52771533829,0.06709079241,Malam Madori,NG018021,Malam Madori,,,Jigawa,NG018,Nigeria,NG,2016-11-29,2019-04-17,,Jigawa North-East,NG01801
1.51320914579,0.06686698702,Malumfashi,NG021025,Malumfashi,,,Katsina,NG021,Nigeria,NG,2016-11-29,2019-04-17,,Katsina South,NG02103
2.11804186880,0.13250566024,Mangu,NG032011,Mangu,,,Plateau,NG032,Nigeria,NG,2016-11-29,2019-04-17,,Plateau Central,NG03201
